City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Limaong,PH,7.3606,122.3664,82.36,70,87,6.69,overcast clouds
255,Hwange,ZW,-18.3693,26.5019,65.77,97,100,2.71,light rain
256,Haines Junction,CA,60.7522,-137.5108,1.85,99,100,1.92,overcast clouds
257,Klyuchevskiy,RU,53.5317,119.4519,3.69,71,100,3.4,overcast clouds
258,Marsh Harbour,BS,26.5412,-77.0636,73.17,64,0,10.25,clear sky
259,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.64,93,52,0.47,broken clouds
260,Muzhi,RU,65.3667,64.6667,2.77,85,6,7.63,clear sky
261,Ketchikan,US,55.3422,-131.6461,40.59,98,100,4.43,light rain
262,Sangar,RU,63.9242,127.4739,-30.32,98,96,1.5,overcast clouds
263,Husavik,IS,66.0449,-17.3389,17.6,93,100,6.33,light snow
264,Lavrentiya,RU,65.5833,-171.0,-8.81,82,1,8.86,clear sky
265,Muros,ES,42.7762,-9.0603,52.23,82,99,14.05,overcast clouds
266,Taltal,CL,-25.4,-70.4833,68.65,70,0,5.41,clear sky
267,Mountain Home,US,43.133,-115.6912,32.94,100,75,16.11,broken clouds
268,Half Moon Bay,US,37.4636,-122.4286,60.04,60,0,0.0,haze
269,Okaihau,NZ,-35.3167,173.7833,73.51,87,53,10.36,broken clouds
270,Pevek,RU,69.7008,170.3133,-24.09,100,100,5.21,overcast clouds
271,Ponta Do Sol,PT,32.6667,-17.1,66.7,66,92,3.76,overcast clouds
272,Srivardhan,IN,18.0333,73.0167,64.13,70,12,4.0,few clouds
273,Axim,GH,4.8699,-2.2405,78.22,84,0,5.61,clear sky
274,Esperance,AU,-33.8667,121.9,79.93,47,3,9.15,clear sky
275,Loreto,MX,22.2667,-101.9667,53.78,67,54,4.14,broken clouds
276,Port Hardy,CA,50.6996,-127.4199,44.76,93,100,9.13,moderate rain
277,Abu Kamal,SY,34.4506,40.9171,47.59,73,49,9.13,scattered clouds
278,Leova,MD,46.4786,28.2553,31.57,64,24,2.77,few clouds
279,Willmar,US,45.1219,-95.0433,-4.16,77,0,6.91,clear sky
280,Tortoli,IT,39.9256,9.6572,53.71,54,86,4.38,overcast clouds
281,San Cristobal,VE,7.7669,-72.225,71.78,90,57,1.86,broken clouds
282,Sibut,CF,5.718,19.0739,70.2,22,95,4.38,overcast clouds
283,Beringovskiy,RU,63.05,179.3167,-7.24,86,54,12.19,broken clouds
284,Flinders,AU,-34.5833,150.8552,75.38,58,64,7.0,light rain
285,Toamasina,MG,-18.1667,49.3833,79.27,73,100,13.24,overcast clouds
286,Chapais,CA,49.7834,-74.8492,-9.67,95,100,3.71,overcast clouds
287,Along,IN,28.1667,94.7667,49.44,98,100,1.45,light rain
288,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,8.05,mist
289,Goderich,CA,43.7501,-81.7165,13.91,93,100,8.14,overcast clouds
290,Geraldton,AU,-28.7667,114.6,104.41,9,0,19.57,clear sky
291,Diu,IN,20.7141,70.9822,60.66,60,90,2.95,overcast clouds
292,Vilyuysk,RU,63.7553,121.6247,-24.32,99,62,2.91,broken clouds
293,Mar Del Plata,AR,-38.0023,-57.5575,69.1,82,100,1.99,moderate rain
294,Sisimiut,GL,66.9395,-53.6735,4.33,89,100,19.22,light snow
295,Carauari,BR,-4.8828,-66.8958,72.37,98,58,0.81,broken clouds
296,Prince Rupert,CA,54.3161,-130.3201,42.89,93,100,14.97,mist
297,Soyo,AO,-6.1349,12.3689,76.89,82,78,2.73,broken clouds
298,Vuktyl,RU,63.8567,57.3094,-3.6,100,90,2.86,overcast clouds
299,Hofn,IS,64.2539,-15.2082,25.81,64,100,13.98,overcast clouds
300,Cockburn Town,TC,21.4612,-71.1419,75.7,74,0,18.72,clear sky
301,Sokolo,ML,14.7328,-6.1219,69.28,15,0,9.33,clear sky
302,Codrington,AU,-38.2667,141.9667,71.87,51,97,16.08,overcast clouds
303,Shingu,JP,33.7333,135.9833,39.9,49,9,16.93,clear sky
304,Songjianghe,CN,42.1859,127.479,4.78,69,85,9.04,overcast clouds
